id,setor,soma_associados,cor_node,cnae_fiscal_principal
11132304,Outros,10,yellow,9491000
11242965,Outros,4,yellow,9430800
46633075,41 - Construção de Edifícios,23,green,4120400
06311615,Outros,6,yellow,9430800
26146336,Outros,15,yellow,8550301
31695815,Outros,3,yellow,4923001
03165104,Outros,7,yellow,8513900
01905015,Outros,9,yellow,9430800
02484126,41 - Construção de Edifícios,3,green,4120400
21391028,Outros,14,yellow,9430800
10711226,Outros,2,yellow,9499500
46251157,42 - Obras de Infraestrutura,14,blue,4213800
05064462,Outros,7,yellow,9430800
51714217,41 - Construção de Edifícios,16,green,4120400
54855999,Outros,7,yellow,9430800
51825389,Outros,4,yellow,9493600
14092415,Outros,4,yellow,9430800
48552524,Outros,6,yellow,9491000
40130287,Outros,11,yellow,8550301
34591310,Outros,20,yellow,9319101
83898387,Outros,6,yellow,6491300
00647183,Outros,17,yellow,4616800
02394737,Outros,6,yellow,9430800
01929295,Outros,5,yellow,9430800
05632999,Outros,5,yellow,9499500
10221711,Outros,6,yellow,9491000
55131515,42 - Obras de Infraestrutura,3,blue,4212000
04965976,68 - Atividades Imobiliárias,3,red,6810202
14108947,Outros,4,yellow,9499500
19770132,68 - Atividades Imobiliárias,5,red,6822600
45936725,Outros,26,yellow,3511502
42042106,Outros,9,yellow,4921302
28074990,Outros,4,yellow,9430800
29258204,Outros,4,yellow,8550301
11712835,Outros,4,yellow,8550301
04986493,41 - Construção de Edifícios,17,green,4110700
52073091,Outros,4,yellow,4313400
10141151,42 - Obras de Infraestrutura,8,blue,4299599
03143991,Outros,5,yellow,9430800
37657857,Outros,9,yellow,3511502
24950634,Outros,7,yellow,9430800
08154120,41 - Construção de Edifícios,17,green,4120400
05822074,Outros,6,yellow,8512100
57705545,Outros,5,yellow,9430800
04423027,41 - Construção de Edifícios,5,green,4110700
03182288,Outros,9,yellow,9430800
28452640,Outros,7,yellow,4313400
10397026,Outros,14,yellow,9412099
06938776,Outros,3,yellow,9430800
46687601,Outros,13,yellow,7112000
45085822,Outros,10,yellow,7210000
26773334,Outros,17,yellow,9430800
21481139,Outros,3,yellow,8550301
01925252,Outros,15,yellow,8550301
44463761,42 - Obras de Infraestrutura,16,blue,4212000
34639815,Outros,14,yellow,9430800
03686767,Outros,23,yellow,9430800
33932590,42 - Obras de Infraestrutura,11,blue,4211101
03190249,Outros,8,yellow,8513900
49090964,Outros,9,yellow,6499999
22455804,Outros,4,yellow,9430800
20552960,Outros,7,yellow,9499500
09243071,Outros,5,yellow,8513900
34679456,Outros,20,yellow,9411100
34891176,Outros,8,yellow,9491000
22739645,Outros,10,yellow,9420100
10766643,Outros,3,yellow,9491000
27782355,Outros,5,yellow,9499500
02611132,Outros,6,yellow,9430800
05575188,Outros,12,yellow,9312300
83333237,Outros,20,yellow,4530705
22979637,Outros,5,yellow,0151202
31531257,Outros,6,yellow,4623108
04367720,Outros,12,yellow,9430800
55266608,Outros,8,yellow,9491000
03649565,Outros,8,yellow,2511000
01834444,Outros,15,yellow,9430800
12089293,Outros,23,yellow,9491000
22525317,Outros,5,yellow,9499500
